Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,AVELLANE V,145.345000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU7EO near Avellaneda, None OPEN",,,,
1,AVELLANE U,434.750000,+,5.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU7EO near Avellaneda, None OPEN",,,,
2,BERNAL V,146.850000,-,0.600000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU1EA near Bernal, None OPEN",,,,
3,BERNAL U,434.500000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU1EA near Bernal, None OPEN",,,,
4,QUILMES V,146.970000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU4DQ near Quilmes, None OPEN",,,,
5,EZPELETA U,433.650000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU4DQ near Quilmes, None OPEN",,,,
6,EZPELETA V,145.390000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU4DQ near Quilmes, None OPEN",,,,
7,EZEIZA V,145.315000,-,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU3EEE near Ezeiza, None OPEN",,,,
